-20.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-18.450000: a: -0.000167, b: 0.014389, amp: 0.014390, phase: 90.663620
-18.400000: a: -0.000167, b: 0.011795, amp: 0.011796, phase: 90.809544
-18.350000: a: -0.000167, b: 0.009323, amp: 0.009324, phase: 91.024175
-18.300000: a: -0.000167, b: 0.007035, amp: 0.007037, phase: 91.357102
-18.250000: a: -0.000167, b: 0.004991, amp: 0.004993, phase: 91.912713
-18.200000: a: -0.000167, b: 0.003242, amp: 0.003247, phase: 92.942684
-18.150000: a: -0.000167, b: 0.001836, amp: 0.001843, phase: 95.187393
-18.100000: a: -0.000167, b: 0.000809, amp: 0.000826, phase: 101.637796
-18.050000: a: -0.000167, b: 0.000191, amp: 0.000254, phase: 131.101657
-18.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-17.950000: a: -0.000167, b: 0.000244, amp: 0.000296, phase: 124.292075
-17.900000: a: -0.000167, b: 0.000922, amp: 0.000937, phase: 100.248148
-17.850000: a: -0.000167, b: 0.002019, amp: 0.002026, phase: 94.718342
-17.800000: a: -0.000167, b: 0.003513, amp: 0.003517, phase: 92.716058
-17.750000: a: -0.000167, b: 0.005370, amp: 0.005373, phase: 91.777601
-17.700000: a: -0.000167, b: 0.007548, amp: 0.007550, phase: 91.264946
-17.650000: a: -0.000167, b: 0.009996, amp: 0.009997, phase: 90.955267
-17.600000: a: -0.000167, b: 0.012655, amp: 0.012657, phase: 90.754514
-17.550000: a: -0.000167, b: 0.015465, amp: 0.015466, phase: 90.617469
-17.500000: a: -0.000167, b: 0.018356, amp: 0.018357, phase: 90.520219
-17.450000: a: -0.000167, b: 0.021259, amp: 0.021260, phase: 90.449170
-17.400000: a: -0.000167, b: 0.024105, amp: 0.024106, phase: 90.396144
-17.350000: a: -0.000167, b: 0.026824, amp: 0.026824, phase: 90.355994
-17.300000: a: -0.000167, b: 0.029349, amp: 0.029350, phase: 90.325365
-17.250000: a: -0.000167, b: 0.031619, amp: 0.031619, phase: 90.302012
-17.200000: a: -0.000167, b: 0.033576, amp: 0.033577, phase: 90.284403
-17.150000: a: -0.000167, b: 0.035173, amp: 0.035174, phase: 90.271490
-17.100000: a: -0.000167, b: 0.036370, amp: 0.036370, phase: 90.262560
-17.050000: a: -0.000167, b: 0.037135, amp: 0.037135, phase: 90.257152
-17.000000: a: -0.000167, b: 0.037448, amp: 0.037449, phase: 90.254998
-16.950000: a: -0.000167, b: 0.037301, amp: 0.037302, phase: 90.256002
-16.900000: a: -0.000167, b: 0.036696, amp: 0.036697, phase: 90.260222
-16.850000: a: -0.000167, b: 0.035647, amp: 0.035647, phase: 90.267883
-16.800000: a: -0.000167, b: 0.034178, amp: 0.034178, phase: 90.279401
-16.750000: a: -0.000167, b: 0.032323, amp: 0.032324, phase: 90.295428
-16.700000: a: -0.000167, b: 0.030129, amp: 0.030130, phase: 90.316943
-16.650000: a: -0.000167, b: 0.027648, amp: 0.027649, phase: 90.345378
-16.600000: a: -0.000167, b: 0.024942, amp: 0.024943, phase: 90.382850
-16.550000: a: -0.000167, b: 0.022077, amp: 0.022078, phase: 90.432530
-16.500000: a: -0.000167, b: 0.019125, amp: 0.019126, phase: 90.499301
-16.450000: a: -0.000167, b: 0.016159, amp: 0.016159, phase: 90.590956
-16.400000: a: -0.000167, b: 0.013253, amp: 0.013254, phase: 90.720507
-16.350000: a: -0.000167, b: 0.010481, amp: 0.010483, phase: 90.910987
-16.300000: a: -0.000167, b: 0.007915, amp: 0.007917, phase: 91.206305
-16.250000: a: -0.000167, b: 0.005619, amp: 0.005622, phase: 91.698838
-16.200000: a: -0.000167, b: 0.003655, amp: 0.003658, phase: 92.611133
-16.150000: a: -0.000167, b: 0.002073, amp: 0.002079, phase: 94.597614
-16.100000: a: -0.000167, b: 0.000916, amp: 0.000931, phase: 100.310544
-16.050000: a: -0.000167, b: 0.000218, amp: 0.000274, phase: 127.386524
-16.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
-15.950000: a: -0.000167, b: 0.000272, amp: 0.000319, phase: 121.519004
-15.900000: a: -0.000167, b: 0.001031, amp: 0.001045, phase: 99.179873
-15.850000: a: -0.000167, b: 0.002265, amp: 0.002271, phase: 94.209288
-15.800000: a: -0.000167, b: 0.003946, amp: 0.003949, phase: 92.418835
-15.750000: a: -0.000167, b: 0.006037, amp: 0.006040, phase: 91.581323
-15.700000: a: -0.000167, b: 0.008492, amp: 0.008494, phase: 91.124322
-15.650000: a: -0.000167, b: 0.011254, amp: 0.011255, phase: 90.848467
-15.600000: a: -0.000167, b: 0.014258, amp: 0.014259, phase: 90.669736
-15.550000: a: -0.000167, b: 0.017432, amp: 0.017433, phase: 90.547771
-15.500000: a: -0.000167, b: 0.020703, amp: 0.020703, phase: 90.461247
-15.450000: a: -0.000167, b: 0.023990, amp: 0.023991, phase: 90.398044
-15.400000: a: -0.000167, b: 0.027215, amp: 0.027216, phase: 90.350877
-15.350000: a: -0.000167, b: 0.030300, amp: 0.030300, phase: 90.315159
-15.300000: a: -0.000167, b: 0.033168, amp: 0.033168, phase: 90.287904
-15.250000: a: -0.000167, b: 0.035750, amp: 0.035750, phase: 90.267112
-15.200000: a: -0.000167, b: 0.037981, amp: 0.037982, phase: 90.251419
-15.150000: a: -0.000167, b: 0.039807, amp: 0.039807, phase: 90.239890
-15.100000: a: -0.000167, b: 0.041180, amp: 0.041180, phase: 90.231890
-15.050000: a: -0.000167, b: 0.042066, amp: 0.042066, phase: 90.227006
-15.000000: a: -0.000167, b: 0.042441, amp: 0.042442, phase: 90.224999
-14.950000: a: -0.000167, b: 0.042295, amp: 0.042295, phase: 90.225777
-14.900000: a: -0.000167, b: 0.041629, amp: 0.041629, phase: 90.229389
-14.850000: a: -0.000167, b: 0.040458, amp: 0.040458, phase: 90.236028
-14.800000: a: -0.000167, b: 0.038809, amp: 0.038810, phase: 90.246055
-14.750000: a: -0.000167, b: 0.036722, amp: 0.036722, phase: 90.260041
-14.700000: a: -0.000167, b: 0.034247, amp: 0.034247, phase: 90.278837
-14.650000: a: -0.000167, b: 0.031443, amp: 0.031444, phase: 90.303696
-14.600000: a: -0.000167, b: 0.028381, amp: 0.028381, phase: 90.336467
-14.550000: a: -0.000167, b: 0.025135, amp: 0.025135, phase: 90.379920
-14.500000: a: -0.000167, b: 0.021786, amp: 0.021786, phase: 90.438319
-14.450000: a: -0.000167, b: 0.018418, amp: 0.018419, phase: 90.518469
-14.400000: a: -0.000167, b: 0.015116, amp: 0.015116, phase: 90.631727
-14.350000: a: -0.000167, b: 0.011963, amp: 0.011964, phase: 90.798183
-14.300000: a: -0.000167, b: 0.009041, amp: 0.009042, phase: 91.056121
-14.250000: a: -0.000167, b: 0.006425, amp: 0.006427, phase: 91.486017
-14.200000: a: -0.000167, b: 0.004183, amp: 0.004186, phase: 92.281595
-14.150000: a: -0.000167, b: 0.002376, amp: 0.002382, phase: 94.012178
-14.100000: a: -0.000167, b: 0.001053, amp: 0.001067, phase: 98.990649
-14.050000: a: -0.000167, b: 0.000253, amp: 0.000303, phase: 123.390500
-14.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-13.950000: a: -0.000167, b: 0.000307, amp: 0.000349, phase: 118.497107
-13.900000: a: -0.000167, b: 0.001172, amp: 0.001184, phase: 98.091497
-13.850000: a: -0.000167, b: 0.002581, amp: 0.002586, phase: 93.695249
-13.800000: a: -0.000167, b: 0.004503, amp: 0.004506, phase: 92.119607
-13.750000: a: -0.000167, b: 0.006898, amp: 0.006900, phase: 91.384033
-13.700000: a: -0.000167, b: 0.009712, amp: 0.009714, phase: 90.983115
-13.650000: a: -0.000167, b: 0.012881, amp: 0.012882, phase: 90.741299
-13.600000: a: -0.000167, b: 0.016331, amp: 0.016332, phase: 90.584712
-13.550000: a: -0.000167, b: 0.019981, amp: 0.019982, phase: 90.477902
-13.500000: a: -0.000167, b: 0.023745, amp: 0.023746, phase: 90.402151
-13.450000: a: -0.000167, b: 0.027533, amp: 0.027533, phase: 90.346827
-13.400000: a: -0.000167, b: 0.031254, amp: 0.031254, phase: 90.305540
-13.350000: a: -0.000167, b: 0.034817, amp: 0.034817, phase: 90.274272
-13.300000: a: -0.000167, b: 0.038135, amp: 0.038136, phase: 90.250403
-13.250000: a: -0.000167, b: 0.041128, amp: 0.041129, phase: 90.232182
-13.200000: a: -0.000167, b: 0.043721, amp: 0.043722, phase: 90.218412
-13.150000: a: -0.000167, b: 0.045850, amp: 0.045850, phase: 90.208274
-13.100000: a: -0.000167, b: 0.047459, amp: 0.047459, phase: 90.201210
-13.050000: a: -0.000167, b: 0.048509, amp: 0.048509, phase: 90.196856
-13.000000: a: -0.000167, b: 0.048971, amp: 0.048971, phase: 90.194999
-12.950000: a: -0.000167, b: 0.048831, amp: 0.048831, phase: 90.195557
-12.900000: a: -0.000167, b: 0.048091, amp: 0.048091, phase: 90.198566
-12.850000: a: -0.000167, b: 0.046767, amp: 0.046767, phase: 90.204189
-12.800000: a: -0.000167, b: 0.044889, amp: 0.044889, phase: 90.212732
-12.750000: a: -0.000167, b: 0.042501, amp: 0.042501, phase: 90.224683
-12.700000: a: -0.000167, b: 0.039661, amp: 0.039661, phase: 90.240771
-12.650000: a: -0.000167, b: 0.036438, amp: 0.036438, phase: 90.262068
-12.600000: a: -0.000167, b: 0.032911, amp: 0.032911, phase: 90.290155
-12.550000: a: -0.000167, b: 0.029166, amp: 0.029167, phase: 90.327404
-12.500000: a: -0.000167, b: 0.025298, amp: 0.025299, phase: 90.377465
-12.450000: a: -0.000167, b: 0.021403, amp: 0.021404, phase: 90.446160
-12.400000: a: -0.000167, b: 0.017579, amp: 0.017580, phase: 90.543202
-12.350000: a: -0.000167, b: 0.013924, amp: 0.013925, phase: 90.685764
-12.300000: a: -0.000167, b: 0.010533, amp: 0.010534, phase: 90.906548
-12.250000: a: -0.000167, b: 0.007493, amp: 0.007495, phase: 91.274248
-12.200000: a: -0.000167, b: 0.004885, amp: 0.004888, phase: 91.954075
-12.150000: a: -0.000167, b: 0.002780, amp: 0.002785, phase: 93.431159
-12.100000: a: -0.000167, b: 0.001236, amp: 0.001247, phase: 97.679438
-12.050000: a: -0.000167, b: 0.000299, amp: 0.000342, phase: 119.123719
-12.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-11.950000: a: -0.000167, b: 0.000354, amp: 0.000391, phase: 115.210533
-11.900000: a: -0.000167, b: 0.001361, amp: 0.001371, phase: 96.983253
-11.850000: a: -0.000167, b: 0.003003, amp: 0.003008, phase: 93.176234
-11.800000: a: -0.000167, b: 0.005250, amp: 0.005252, phase: 91.818369
-11.750000: a: -0.000167, b: 0.008052, amp: 0.008054, phase: 91.185727
-11.700000: a: -0.000167, b: 0.011350, amp: 0.011351, phase: 90.841321
-11.650000: a: -0.000167, b: 0.015067, amp: 0.015068, phase: 90.633764
-11.600000: a: -0.000167, b: 0.019119, amp: 0.019120, phase: 90.499442
-11.550000: a: -0.000167, b: 0.023413, amp: 0.023413, phase: 90.407862
-11.500000: a: -0.000167, b: 0.027846, amp: 0.027846, phase: 90.342931
-11.450000: a: -0.000167, b: 0.032313, amp: 0.032314, phase: 90.295518
-11.400000: a: -0.000167, b: 0.036709, amp: 0.036709, phase: 90.260135
-11.350000: a: -0.000167, b: 0.040926, amp: 0.040926, phase: 90.233332
-11.300000: a: -0.000167, b: 0.044861, amp: 0.044861, phase: 90.212862
-11.250000: a: -0.000167, b: 0.048419, amp: 0.048419, phase: 90.197221
-11.200000: a: -0.000167, b: 0.051511, amp: 0.051511, phase: 90.185382
-11.150000: a: -0.000167, b: 0.054060, amp: 0.054060, phase: 90.176642
-11.100000: a: -0.000167, b: 0.056001, amp: 0.056001, phase: 90.170519
-11.050000: a: -0.000167, b: 0.057284, amp: 0.057284, phase: 90.166700
-11.000000: a: -0.000167, b: 0.057875, amp: 0.057875, phase: 90.165000
-10.950000: a: -0.000167, b: 0.057755, amp: 0.057755, phase: 90.165342
-10.900000: a: -0.000167, b: 0.056925, amp: 0.056925, phase: 90.167753
-10.850000: a: -0.000167, b: 0.055401, amp: 0.055402, phase: 90.172365
-10.800000: a: -0.000167, b: 0.053219, amp: 0.053220, phase: 90.179432
-10.750000: a: -0.000167, b: 0.050430, amp: 0.050430, phase: 90.189357
-10.700000: a: -0.000167, b: 0.047100, amp: 0.047100, phase: 90.202746
-10.650000: a: -0.000167, b: 0.043309, amp: 0.043309, phase: 90.220492
-10.600000: a: -0.000167, b: 0.039150, amp: 0.039151, phase: 90.243912
-10.550000: a: -0.000167, b: 0.034727, amp: 0.034727, phase: 90.274981
-10.500000: a: -0.000167, b: 0.030149, amp: 0.030149, phase: 90.316738
-10.450000: a: -0.000167, b: 0.025531, amp: 0.025531, phase: 90.374028
-10.400000: a: -0.000167, b: 0.020990, amp: 0.020991, phase: 90.454931
-10.350000: a: -0.000167, b: 0.016644, amp: 0.016645, phase: 90.573726
-10.300000: a: -0.000167, b: 0.012604, amp: 0.012605, phase: 90.757584
-10.250000: a: -0.000167, b: 0.008978, amp: 0.008979, phase: 91.063530
-10.200000: a: -0.000167, b: 0.005862, amp: 0.005864, phase: 91.628574
-10.150000: a: -0.000167, b: 0.003342, amp: 0.003347, phase: 92.854625
-10.100000: a: -0.000167, b: 0.001491, amp: 0.001500, phase: 96.378183
-10.050000: a: -0.000167, b: 0.000364, amp: 0.000400, phase: 114.609619
-10.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-9.950000: a: -0.000167, b: 0.000420, amp: 0.000452, phase: 111.647522
-9.900000: a: -0.000167, b: 0.001625, amp: 0.001634, phase: 95.855445
-9.850000: a: -0.000167, b: 0.003598, amp: 0.003602, phase: 92.652258
-9.800000: a: -0.000167, b: 0.006301, amp: 0.006303, phase: 91.515118
-9.750000: a: -0.000167, b: 0.009680, amp: 0.009681, phase: 90.986402
-9.700000: a: -0.000167, b: 0.013662, amp: 0.013663, phase: 90.698941
-9.650000: a: -0.000167, b: 0.018159, amp: 0.018160, phase: 90.525860
-9.600000: a: -0.000167, b: 0.023070, amp: 0.023070, phase: 90.413927
-9.550000: a: -0.000167, b: 0.028281, amp: 0.028282, phase: 90.337649
-9.500000: a: -0.000167, b: 0.033673, amp: 0.033673, phase: 90.283587
-9.450000: a: -0.000167, b: 0.039117, amp: 0.039118, phase: 90.244117
-9.400000: a: -0.000167, b: 0.044485, amp: 0.044486, phase: 90.214660
-9.350000: a: -0.000167, b: 0.049648, amp: 0.049648, phase: 90.192340
-9.300000: a: -0.000167, b: 0.054480, amp: 0.054480, phase: 90.175281
-9.250000: a: -0.000167, b: 0.058863, amp: 0.058863, phase: 90.162230
-9.200000: a: -0.000167, b: 0.062688, amp: 0.062688, phase: 90.152330
-9.150000: a: -0.000167, b: 0.065860, amp: 0.065860, phase: 90.144994
-9.100000: a: -0.000167, b: 0.068298, amp: 0.068298, phase: 90.139818
-9.050000: a: -0.000167, b: 0.069938, amp: 0.069938, phase: 90.136540
-9.000000: a: -0.000167, b: 0.070736, amp: 0.070736, phase: 90.135000
-8.950000: a: -0.000167, b: 0.070667, amp: 0.070667, phase: 90.135131
-8.900000: a: -0.000167, b: 0.069728, amp: 0.069729, phase: 90.136950
-8.850000: a: -0.000167, b: 0.067939, amp: 0.067939, phase: 90.140558
-8.800000: a: -0.000167, b: 0.065337, amp: 0.065337, phase: 90.146154
-8.750000: a: -0.000167, b: 0.061984, amp: 0.061984, phase: 90.154061
-8.700000: a: -0.000167, b: 0.057958, amp: 0.057958, phase: 90.164762
-8.650000: a: -0.000167, b: 0.053357, amp: 0.053357, phase: 90.178970
-8.600000: a: -0.000167, b: 0.048292, amp: 0.048292, phase: 90.197741
-8.550000: a: -0.000167, b: 0.042889, amp: 0.042889, phase: 90.222653
-8.500000: a: -0.000167, b: 0.037282, amp: 0.037282, phase: 90.256138
-8.450000: a: -0.000167, b: 0.031612, amp: 0.031613, phase: 90.302072
-8.400000: a: -0.000167, b: 0.026026, amp: 0.026026, phase: 90.366914
-8.350000: a: -0.000167, b: 0.020666, amp: 0.020667, phase: 90.462070
-8.300000: a: -0.000167, b: 0.015674, amp: 0.015675, phase: 90.609228
-8.250000: a: -0.000167, b: 0.011183, amp: 0.011184, phase: 90.853860
-8.200000: a: -0.000167, b: 0.007316, amp: 0.007318, phase: 91.305096
-8.150000: a: -0.000167, b: 0.004181, amp: 0.004185, phase: 92.282640
-8.100000: a: -0.000167, b: 0.001872, amp: 0.001879, phase: 95.088099
-8.050000: a: -0.000167, b: 0.000461, amp: 0.000490, phase: 109.886518
-8.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-7.950000: a: -0.000167, b: 0.000519, amp: 0.000545, phase: 107.802802
-7.900000: a: -0.000167, b: 0.002024, amp: 0.002030, phase: 94.708447
-7.850000: a: -0.000167, b: 0.004495, amp: 0.004498, phase: 92.123338
-7.800000: a: -0.000167, b: 0.007892, amp: 0.007894, phase: 91.209851
-7.750000: a: -0.000167, b: 0.012148, amp: 0.012149, phase: 90.786054
-7.700000: a: -0.000167, b: 0.017175, amp: 0.017176, phase: 90.555971
-7.650000: a: -0.000167, b: 0.022867, amp: 0.022868, phase: 90.417585
-7.600000: a: -0.000167, b: 0.029099, amp: 0.029099, phase: 90.328164
-7.550000: a: -0.000167, b: 0.035730, amp: 0.035730, phase: 90.267264
-7.500000: a: -0.000167, b: 0.042608, amp: 0.042608, phase: 90.224119
-7.450000: a: -0.000167, b: 0.049575, amp: 0.049575, phase: 90.192624
-7.400000: a: -0.000167, b: 0.056466, amp: 0.056466, phase: 90.169116
-7.350000: a: -0.000167, b: 0.063117, amp: 0.063117, phase: 90.151294
-7.300000: a: -0.000167, b: 0.069369, amp: 0.069369, phase: 90.137660
-7.250000: a: -0.000167, b: 0.075068, amp: 0.075068, phase: 90.127208
-7.200000: a: -0.000167, b: 0.080074, amp: 0.080074, phase: 90.119256
-7.150000: a: -0.000167, b: 0.084261, amp: 0.084261, phase: 90.113330
-7.100000: a: -0.000167, b: 0.087522, amp: 0.087522, phase: 90.109107
-7.050000: a: -0.000167, b: 0.089771, amp: 0.089771, phase: 90.106374
-7.000000: a: -0.000167, b: 0.090946, amp: 0.090946, phase: 90.105000
-6.950000: a: -0.000167, b: 0.091010, amp: 0.091010, phase: 90.104926
-6.900000: a: -0.000167, b: 0.089954, amp: 0.089955, phase: 90.106157
-6.850000: a: -0.000167, b: 0.087797, amp: 0.087797, phase: 90.108766
-6.800000: a: -0.000167, b: 0.084583, amp: 0.084583, phase: 90.112899
-6.750000: a: -0.000167, b: 0.080384, amp: 0.080384, phase: 90.118795
-6.700000: a: -0.000167, b: 0.075299, amp: 0.075299, phase: 90.126818
-6.650000: a: -0.000167, b: 0.069448, amp: 0.069449, phase: 90.137502
-6.600000: a: -0.000167, b: 0.062974, amp: 0.062974, phase: 90.151639
-6.550000: a: -0.000167, b: 0.056035, amp: 0.056035, phase: 90.170418
-6.500000: a: -0.000167, b: 0.048804, amp: 0.048804, phase: 90.195665
-6.450000: a: -0.000167, b: 0.041466, amp: 0.041466, phase: 90.230293
-6.400000: a: -0.000167, b: 0.034208, amp: 0.034209, phase: 90.279150
-6.350000: a: -0.000167, b: 0.027222, amp: 0.027222, phase: 90.350794
-6.300000: a: -0.000167, b: 0.020692, amp: 0.020693, phase: 90.461477
-6.250000: a: -0.000167, b: 0.014799, amp: 0.014800, phase: 90.645236
-6.200000: a: -0.000167, b: 0.009707, amp: 0.009709, phase: 90.983641
-6.150000: a: -0.000167, b: 0.005566, amp: 0.005568, phase: 91.715263
-6.100000: a: -0.000167, b: 0.002502, amp: 0.002508, phase: 93.810331
-6.050000: a: -0.000167, b: 0.000622, amp: 0.000644, phase: 105.007489
-6.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-5.950000: a: -0.000167, b: 0.000685, amp: 0.000705, phase: 103.680344
-5.900000: a: -0.000167, b: 0.002692, amp: 0.002697, phase: 93.542707
-5.850000: a: -0.000167, b: 0.006006, amp: 0.006009, phase: 91.589495
-5.800000: a: -0.000167, b: 0.010579, amp: 0.010581, phase: 90.902565
-5.750000: a: -0.000167, b: 0.016332, amp: 0.016333, phase: 90.584682
-5.700000: a: -0.000167, b: 0.023154, amp: 0.023155, phase: 90.412409
-5.650000: a: -0.000167, b: 0.030910, amp: 0.030910, phase: 90.308940
-5.600000: a: -0.000167, b: 0.039435, amp: 0.039435, phase: 90.242153
-5.550000: a: -0.000167, b: 0.048546, amp: 0.048546, phase: 90.196706
-5.500000: a: -0.000167, b: 0.058041, amp: 0.058041, phase: 90.164526
-5.450000: a: -0.000167, b: 0.067707, amp: 0.067707, phase: 90.141039
-5.400000: a: -0.000167, b: 0.077320, amp: 0.077320, phase: 90.123503
-5.350000: a: -0.000167, b: 0.086657, amp: 0.086657, phase: 90.110197
-5.300000: a: -0.000167, b: 0.095495, amp: 0.095495, phase: 90.099998
-5.250000: a: -0.000167, b: 0.103621, amp: 0.103621, phase: 90.092156
-5.200000: a: -0.000167, b: 0.110834, amp: 0.110834, phase: 90.086158
-5.150000: a: -0.000167, b: 0.116955, amp: 0.116955, phase: 90.081650
-5.100000: a: -0.000167, b: 0.121824, amp: 0.121824, phase: 90.078386
-5.050000: a: -0.000167, b: 0.125313, amp: 0.125313, phase: 90.076203
-5.000000: a: -0.000167, b: 0.127324, amp: 0.127324, phase: 90.075000
-4.950000: a: -0.000167, b: 0.127792, amp: 0.127792, phase: 90.074725
-4.900000: a: -0.000167, b: 0.126691, amp: 0.126692, phase: 90.075374
-4.850000: a: -0.000167, b: 0.124033, amp: 0.124033, phase: 90.076990
-4.800000: a: -0.000167, b: 0.119866, amp: 0.119866, phase: 90.079666
-4.750000: a: -0.000167, b: 0.114280, amp: 0.114280, phase: 90.083561
-4.700000: a: -0.000167, b: 0.107399, amp: 0.107399, phase: 90.088914
-4.650000: a: -0.000167, b: 0.099383, amp: 0.099383, phase: 90.096086
-4.600000: a: -0.000167, b: 0.090423, amp: 0.090423, phase: 90.105607
-4.550000: a: -0.000167, b: 0.080737, amp: 0.080738, phase: 90.118276
-4.500000: a: -0.000167, b: 0.070569, amp: 0.070569, phase: 90.135319
-4.450000: a: -0.000167, b: 0.060176, amp: 0.060176, phase: 90.158689
-4.400000: a: -0.000167, b: 0.049829, amp: 0.049830, phase: 90.191639
-4.350000: a: -0.000167, b: 0.039806, amp: 0.039806, phase: 90.239897
-4.300000: a: -0.000167, b: 0.030380, amp: 0.030380, phase: 90.314329
-4.250000: a: -0.000167, b: 0.021819, amp: 0.021819, phase: 90.437655
-4.200000: a: -0.000167, b: 0.014376, amp: 0.014377, phase: 90.664211
-4.150000: a: -0.000167, b: 0.008284, amp: 0.008286, phase: 91.152548
-4.100000: a: -0.000167, b: 0.003748, amp: 0.003752, phase: 92.545957
-4.050000: a: -0.000167, b: 0.000942, amp: 0.000956, phase: 100.037986
-4.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-3.950000: a: -0.000167, b: 0.001018, amp: 0.001032, phase: 99.296122
-3.900000: a: -0.000167, b: 0.004046, amp: 0.004050, phase: 92.358751
-3.850000: a: -0.000167, b: 0.009087, amp: 0.009089, phase: 91.050755
-3.800000: a: -0.000167, b: 0.016096, amp: 0.016097, phase: 90.593258
-3.750000: a: -0.000167, b: 0.024979, amp: 0.024980, phase: 90.382281
-3.700000: a: -0.000167, b: 0.035598, amp: 0.035598, phase: 90.268255
-3.650000: a: -0.000167, b: 0.047765, amp: 0.047765, phase: 90.199922
-3.600000: a: -0.000167, b: 0.061255, amp: 0.061255, phase: 90.155894
-3.550000: a: -0.000167, b: 0.075803, amp: 0.075803, phase: 90.125975
-3.500000: a: -0.000167, b: 0.091112, amp: 0.091113, phase: 90.104808
-3.450000: a: -0.000167, b: 0.106862, amp: 0.106862, phase: 90.089361
-3.400000: a: -0.000167, b: 0.122709, amp: 0.122710, phase: 90.077820
-3.350000: a: -0.000167, b: 0.138304, amp: 0.138304, phase: 90.069046
-3.300000: a: -0.000167, b: 0.153289, amp: 0.153289, phase: 90.062296
-3.250000: a: -0.000167, b: 0.167314, amp: 0.167315, phase: 90.057074
-3.200000: a: -0.000167, b: 0.180044, amp: 0.180044, phase: 90.053039
-3.150000: a: -0.000167, b: 0.191163, amp: 0.191163, phase: 90.049954
-3.100000: a: -0.000167, b: 0.200387, amp: 0.200387, phase: 90.047654
-3.050000: a: -0.000167, b: 0.207469, amp: 0.207469, phase: 90.046028
-3.000000: a: -0.000167, b: 0.212207, amp: 0.212207, phase: 90.045000
-2.950000: a: -0.000167, b: 0.214449, amp: 0.214449, phase: 90.044529
-2.900000: a: -0.000167, b: 0.214100, amp: 0.214100, phase: 90.044602
-2.850000: a: -0.000167, b: 0.211126, amp: 0.211127, phase: 90.045230
-2.800000: a: -0.000167, b: 0.205555, amp: 0.205555, phase: 90.046456
-2.750000: a: -0.000167, b: 0.197478, amp: 0.197478, phase: 90.048356
-2.700000: a: -0.000167, b: 0.187053, amp: 0.187053, phase: 90.051051
-2.650000: a: -0.000167, b: 0.174500, amp: 0.174500, phase: 90.054724
-2.600000: a: -0.000167, b: 0.160100, amp: 0.160100, phase: 90.059646
